IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.173.205,443,443,true,FRA,Europe,Frankfurt,171,11.17
141.148.225.147,443,443,true,FRA,Europe,Frankfurt,170,11.16
132.145.120.118,2053,2053,true,NRT,Asia Pacific,Tokyo,126,11.15
138.3.222.204,2087,2087,true,NRT,Asia Pacific,Tokyo,85,11.15
129.159.193.230,443,443,true,FRA,Europe,Frankfurt,231,11.15
141.147.26.161,443,443,true,FRA,Europe,Frankfurt,178,11.15
138.2.8.232,8080,8080,false,NRT,Asia Pacific,Tokyo,137,11.13
141.147.186.210,8080,8080,false,NRT,Asia Pacific,Tokyo,94,11.13
168.138.205.38,2086,2086,false,NRT,Asia Pacific,Tokyo,127,11.13
141.147.179.64,2053,2053,true,NRT,Asia Pacific,Tokyo,77,11.13
168.138.195.31,2083,2083,true,NRT,Asia Pacific,Tokyo,171,11.13
84.235.172.81,443,443,true,FRA,Europe,Frankfurt,177,11.12
131.186.41.255,2087,2087,true,NRT,Asia Pacific,Tokyo,199,11.12
141.147.164.153,2096,2096,true,NRT,Asia Pacific,Tokyo,92,11.12
144.21.34.127,443,443,true,FRA,Europe,Frankfurt,169,11.12
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,182,11.11
132.145.114.14,2052,2052,false,NRT,Asia Pacific,Tokyo,137,11.11
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,167,11.10
131.186.37.69,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.10
141.147.191.211,2095,2095,false,NRT,Asia Pacific,Tokyo,139,11.10
150.230.208.83,8443,8443,true,NRT,Asia Pacific,Tokyo,105,11.10
141.147.92.143,443,443,true,LHR,Europe,London,272,11.10
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,203,11.09
168.138.206.236,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.08
132.145.121.123,2053,2053,true,NRT,Asia Pacific,Tokyo,162,11.08
168.138.212.40,8880,8880,false,NRT,Asia Pacific,Tokyo,79,11.07
140.238.32.184,2083,2083,true,NRT,Asia Pacific,Tokyo,197,11.07
138.3.211.101,8880,8880,false,NRT,Asia Pacific,Tokyo,91,11.07
140.238.35.78,2095,2095,false,NRT,Asia Pacific,Tokyo,81,11.07
141.148.232.64,443,443,true,FRA,Europe,Frankfurt,174,11.04
158.101.211.29,443,443,true,FRA,Europe,Frankfurt,218,11.04
150.230.214.218,2053,2053,true,NRT,Asia Pacific,Tokyo,209,11.04
141.147.174.190,2086,2086,false,NRT,Asia Pacific,Tokyo,78,11.04
143.47.183.249,443,443,true,FRA,Europe,Frankfurt,185,11.03
132.145.115.17,8880,8880,false,NRT,Asia Pacific,Tokyo,82,11.03
141.147.191.132,2052,2052,false,NRT,Asia Pacific,Tokyo,123,11.02
144.21.57.128,443,443,true,FRA,Europe,Frankfurt,196,11.02
150.230.106.21,8880,8880,false,NRT,Asia Pacific,Tokyo,130,11.01
140.238.54.182,2053,2053,true,NRT,Asia Pacific,Tokyo,79,11.01
140.238.33.165,2096,2096,true,NRT,Asia Pacific,Tokyo,134,11.01
141.147.191.132,8080,8080,false,NRT,Asia Pacific,Tokyo,132,11.01
150.230.221.219,2083,2083,true,NRT,Asia Pacific,Tokyo,128,11.00
150.230.212.9,8080,8080,false,NRT,Asia Pacific,Tokyo,88,11.00
140.238.62.12,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.00
168.138.192.185,8880,8880,false,NRT,Asia Pacific,Tokyo,128,10.99
150.230.204.117,8443,8443,true,NRT,Asia Pacific,Tokyo,142,10.98
168.138.200.159,2096,2096,true,NRT,Asia Pacific,Tokyo,141,10.98
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,189,10.98
158.101.206.70,8443,443,true,AMS,Europe,Amsterdam,179,10.98
141.147.174.190,2082,2082,false,NRT,Asia Pacific,Tokyo,89,10.98
152.70.102.124,2053,2053,true,HKG,Asia Pacific,Hong Kong,133,10.98
150.230.212.87,8080,8080,false,NRT,Asia Pacific,Tokyo,129,10.98
141.148.227.179,443,443,true,FRA,Europe,Frankfurt,194,10.97
131.186.44.38,80,80,false,NRT,Asia Pacific,Tokyo,92,10.97
131.186.35.189,2096,2096,true,NRT,Asia Pacific,Tokyo,200,10.97
141.147.164.153,2082,2082,false,NRT,Asia Pacific,Tokyo,83,10.96
151.145.69.105,2086,0,false,HKG,Asia Pacific,Hong Kong,184,10.95
150.230.115.145,443,443,true,FRA,Europe,Frankfurt,199,10.95
168.138.212.40,2082,2082,false,NRT,Asia Pacific,Tokyo,75,10.95
140.238.36.216,80,80,false,NRT,Asia Pacific,Tokyo,87,10.95
131.186.37.69,2095,2095,false,NRT,Asia Pacific,Tokyo,84,10.94
138.2.24.114,2087,2087,true,NRT,Asia Pacific,Tokyo,118,10.93
140.238.51.89,2087,2087,true,NRT,Asia Pacific,Tokyo,119,10.93
150.230.105.53,8443,8443,true,NRT,Asia Pacific,Tokyo,146,10.93
141.147.182.70,2053,2053,true,NRT,Asia Pacific,Tokyo,89,10.92
132.145.120.103,2096,2096,true,NRT,Asia Pacific,Tokyo,191,10.92
131.186.47.223,2052,2052,false,NRT,Asia Pacific,Tokyo,87,10.92
152.70.106.21,80,80,false,NRT,Asia Pacific,Tokyo,84,10.92
150.230.101.13,2087,2087,true,NRT,Asia Pacific,Tokyo,84,10.89
131.186.59.94,2095,2095,false,NRT,Asia Pacific,Tokyo,77,10.88
84.235.162.236,443,443,true,FRA,Europe,Frankfurt,191,10.88
150.230.113.145,443,443,true,FRA,Europe,Frankfurt,190,10.87
138.2.19.122,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.87
132.145.121.123,2083,2083,true,NRT,Asia Pacific,Tokyo,226,10.87
168.138.214.62,8443,8443,true,NRT,Asia Pacific,Tokyo,77,10.86
193.123.34.6,443,443,true,FRA,Europe,Frankfurt,171,10.86
138.3.211.101,2052,2052,false,NRT,Asia Pacific,Tokyo,96,10.85
131.186.34.244,8880,8880,false,NRT,Asia Pacific,Tokyo,88,10.85
140.238.60.177,8080,8080,false,NRT,Asia Pacific,Tokyo,79,10.85
131.186.47.255,2087,2087,true,NRT,Asia Pacific,Tokyo,104,10.84
130.162.220.177,443,443,true,FRA,Europe,Frankfurt,189,10.84
140.238.34.208,2086,2086,false,NRT,Asia Pacific,Tokyo,138,10.84
138.2.15.8,2086,2086,false,NRT,Asia Pacific,Tokyo,81,10.84
138.3.222.204,8880,8880,false,NRT,Asia Pacific,Tokyo,75,10.83
141.147.186.210,2095,2095,false,NRT,Asia Pacific,Tokyo,125,10.83
143.47.181.182,443,443,true,FRA,Europe,Frankfurt,178,10.83
140.238.39.87,2096,2096,true,NRT,Asia Pacific,Tokyo,192,10.82
140.238.59.255,8880,8880,false,NRT,Asia Pacific,Tokyo,126,10.82
140.238.34.208,2082,2082,false,NRT,Asia Pacific,Tokyo,131,10.82
131.186.45.88,8880,8880,false,NRT,Asia Pacific,Tokyo,128,10.80
150.230.106.21,2053,2053,true,NRT,Asia Pacific,Tokyo,138,10.80
141.147.181.148,2096,2096,true,NRT,Asia Pacific,Tokyo,96,10.79
138.3.223.50,2095,2095,false,NRT,Asia Pacific,Tokyo,122,10.79
144.21.49.184,443,443,true,FRA,Europe,Frankfurt,173,10.78
150.230.222.185,2087,2087,true,NRT,Asia Pacific,Tokyo,76,10.78
132.145.117.216,8443,8443,true,NRT,Asia Pacific,Tokyo,114,10.77
130.162.216.218,443,443,true,FRA,Europe,Frankfurt,189,10.77
132.145.114.14,2087,2087,true,NRT,Asia Pacific,Tokyo,100,10.76
140.238.51.89,2053,2053,true,NRT,Asia Pacific,Tokyo,224,10.76
131.186.47.255,2083,2083,true,NRT,Asia Pacific,Tokyo,82,10.75
144.21.32.231,443,443,true,FRA,Europe,Frankfurt,169,10.75
141.148.246.34,443,443,true,FRA,Europe,Frankfurt,183,10.74
138.2.21.31,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.74
138.2.19.122,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.73
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,130,10.73
150.230.97.239,2052,2052,false,NRT,Asia Pacific,Tokyo,127,10.73
141.147.174.7,80,80,false,NRT,Asia Pacific,Tokyo,85,10.73
138.2.8.232,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.72
150.230.97.239,8080,8080,false,NRT,Asia Pacific,Tokyo,80,10.72
141.147.101.108,443,443,true,FRA,Europe,Frankfurt,198,10.71
150.230.108.135,80,80,false,NRT,Asia Pacific,Tokyo,86,10.71
150.230.207.53,2096,2096,true,NRT,Asia Pacific,Tokyo,159,10.70
150.230.107.197,2082,2082,false,NRT,Asia Pacific,Tokyo,77,10.70
141.148.235.103,443,443,true,FRA,Europe,Frankfurt,220,10.70
144.21.42.208,443,443,true,FRA,Europe,Frankfurt,172,10.69
150.230.207.53,8443,8443,true,NRT,Asia Pacific,Tokyo,124,10.69
150.230.207.53,2095,2095,false,NRT,Asia Pacific,Tokyo,124,10.69
