IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.99.187.248,8080,0,false,ORD,North America,Chicago,278,0.00
35.183.109.65,8443,0,false,ORD,North America,Chicago,256,0.00
35.182.91.91,2096,0,false,ORD,North America,Chicago,251,0.00
15.223.105.115,80,0,false,ORD,North America,Chicago,252,0.00
18.197.118.240,8880,0,false,ORD,North America,Chicago,171,0.00
15.222.62.90,443,0,false,ORD,North America,Chicago,250,0.00
18.197.118.240,80,0,false,ORD,North America,Chicago,174,0.00
15.222.62.90,2053,0,false,ORD,North America,Chicago,247,0.00
18.197.118.240,2053,0,false,ORD,North America,Chicago,171,0.00
18.197.118.240,8443,0,false,ORD,North America,Chicago,171,0.00
18.197.118.240,2086,0,false,ORD,North America,Chicago,172,0.00
35.182.91.91,2087,0,false,ORD,North America,Chicago,252,0.00
18.197.118.240,2095,0,false,ORD,North America,Chicago,169,0.00
18.197.118.240,2052,0,false,ORD,North America,Chicago,171,0.00
18.197.118.240,8080,0,false,ORD,North America,Chicago,172,0.00
18.197.118.240,2083,0,false,ORD,North America,Chicago,170,0.00
18.197.118.240,443,0,false,ORD,North America,Chicago,172,0.00
15.157.69.148,443,0,false,ORD,North America,Chicago,248,0.00
35.183.109.65,2096,0,false,ORD,North America,Chicago,251,0.00
18.197.118.240,2096,0,false,ORD,North America,Chicago,174,0.00
3.99.169.181,2052,0,false,ORD,North America,Chicago,282,0.00
35.183.109.65,2086,0,false,ORD,North America,Chicago,250,0.00
35.183.109.65,2083,0,false,ORD,North America,Chicago,249,0.00
15.223.116.2,443,0,false,ORD,North America,Chicago,253,0.00
18.197.118.240,2087,0,false,ORD,North America,Chicago,171,0.00
15.223.116.2,2096,0,false,ORD,North America,Chicago,253,0.00
15.223.116.145,2053,0,false,ORD,North America,Chicago,253,0.00
35.182.91.91,2053,0,false,ORD,North America,Chicago,252,0.00
15.223.116.2,80,0,false,ORD,North America,Chicago,247,0.00
15.222.62.90,2082,0,false,ORD,North America,Chicago,252,0.00
15.222.62.90,8880,0,false,ORD,North America,Chicago,248,0.00
3.99.187.248,2086,0,false,ORD,North America,Chicago,249,0.00
15.223.116.2,2082,0,false,ORD,North America,Chicago,272,0.00
15.223.116.2,2053,0,false,ORD,North America,Chicago,256,0.00
15.223.116.2,8443,0,false,ORD,North America,Chicago,253,0.00
35.182.91.91,2086,0,false,ORD,North America,Chicago,244,0.00
3.98.231.179,80,0,false,ORD,North America,Chicago,252,0.00
18.159.253.53,8443,0,false,ORD,North America,Chicago,179,0.00
18.159.253.53,2087,0,false,ORD,North America,Chicago,181,0.00
18.159.253.53,443,0,false,ORD,North America,Chicago,185,0.00
18.159.253.53,2083,0,false,ORD,North America,Chicago,179,0.00
18.159.253.53,8880,0,false,ORD,North America,Chicago,188,0.00
13.58.241.0,2086,0,false,ORD,North America,Chicago,227,0.00
18.159.253.53,8080,0,false,ORD,North America,Chicago,183,0.00
15.223.114.245,2087,0,false,ORD,North America,Chicago,248,0.00
18.159.253.53,80,0,false,ORD,North America,Chicago,181,0.00
18.159.253.53,2052,0,false,ORD,North America,Chicago,185,0.00
15.223.116.145,8443,0,false,ORD,North America,Chicago,245,0.00
15.223.114.245,80,0,false,ORD,North America,Chicago,249,0.00
99.79.95.3,80,0,false,ORD,North America,Chicago,252,0.00
15.223.114.245,8080,0,false,ORD,North America,Chicago,261,0.00
3.99.187.248,2095,0,false,ORD,North America,Chicago,276,0.00
18.159.253.53,2086,0,false,ORD,North America,Chicago,180,0.00
15.223.116.2,8080,0,false,ORD,North America,Chicago,252,0.00
3.99.187.248,2082,0,false,ORD,North America,Chicago,251,0.00
3.99.187.248,8443,0,false,ORD,North America,Chicago,282,0.00
15.223.114.245,443,0,false,ORD,North America,Chicago,251,0.00
18.159.253.155,8080,0,false,ORD,North America,Chicago,178,0.00
18.159.253.155,2095,0,false,ORD,North America,Chicago,183,0.00
18.159.253.155,80,0,false,ORD,North America,Chicago,181,0.00
18.159.253.155,2052,0,false,ORD,North America,Chicago,184,0.00
18.159.253.155,2087,0,false,ORD,North America,Chicago,182,0.00
18.159.253.155,8880,0,false,ORD,North America,Chicago,182,0.00
18.159.253.155,2053,0,false,ORD,North America,Chicago,181,0.00
18.159.253.155,8443,0,false,ORD,North America,Chicago,182,0.00
18.159.253.155,2086,0,false,ORD,North America,Chicago,178,0.00
18.159.253.155,2082,0,false,ORD,North America,Chicago,184,0.00
18.159.253.155,443,0,false,ORD,North America,Chicago,182,0.00
18.159.253.155,2083,0,false,ORD,North America,Chicago,179,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,197,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,196,0.00
13.51.105.208,80,0,false,ARN,Europe,Stockholm,193,0.00
15.223.116.145,2095,0,false,ORD,North America,Chicago,249,0.00
15.223.116.145,8880,0,false,ORD,North America,Chicago,250,0.00
15.223.116.145,2096,0,false,ORD,North America,Chicago,256,0.00
15.223.116.145,2083,0,false,ORD,North America,Chicago,285,0.00
15.223.116.145,8080,0,false,ORD,North America,Chicago,254,0.00
15.223.116.145,2082,0,false,ORD,North America,Chicago,250,0.00
18.162.199.168,80,0,false,HKG,Asia Pacific,Hong Kong,39,0.00
54.233.119.172,80,0,false,ORD,North America,Chicago,374,0.00
18.231.198.127,80,0,false,ORD,North America,Chicago,367,0.00
18.229.131.75,2086,0,false,ORD,North America,Chicago,365,0.00
54.94.87.189,2082,0,false,ORD,North America,Chicago,360,0.00
18.229.124.19,8080,0,false,ORD,North America,Chicago,418,0.00
18.228.172.147,2083,0,false,ORD,North America,Chicago,348,0.00
54.94.87.189,8080,0,false,ORD,North America,Chicago,350,0.00
18.231.198.127,2096,0,false,ORD,North America,Chicago,349,0.00
18.228.172.147,2095,0,false,ORD,North America,Chicago,362,0.00
15.228.192.27,2053,0,false,ORD,North America,Chicago,350,0.00
18.230.11.92,8443,0,false,ORD,North America,Chicago,366,0.00
18.230.82.64,443,0,false,ORD,North America,Chicago,354,0.00
18.231.88.32,8880,0,false,ORD,North America,Chicago,345,0.00
18.229.143.19,2083,0,false,ORD,North America,Chicago,360,0.00
18.231.88.32,2052,0,false,ORD,North America,Chicago,353,0.00
18.229.143.19,2087,0,false,ORD,North America,Chicago,376,0.00
52.67.141.101,8080,0,false,ORD,North America,Chicago,352,0.00
18.231.2.47,2096,0,false,ORD,North America,Chicago,347,0.00
18.162.36.87,80,0,false,HKG,Asia Pacific,Hong Kong,32,0.00
18.230.124.145,2087,0,false,ORD,North America,Chicago,354,0.00
18.231.88.32,8443,0,false,ORD,North America,Chicago,356,0.00
18.230.124.145,2096,0,false,ORD,North America,Chicago,359,0.00
18.231.94.237,2096,0,false,ORD,North America,Chicago,362,0.00
15.228.192.27,2095,0,false,ORD,North America,Chicago,429,0.00
18.231.2.47,2053,0,false,ORD,North America,Chicago,355,0.00
18.229.124.19,8443,0,false,ORD,North America,Chicago,348,0.00
18.231.87.214,2053,0,false,ORD,North America,Chicago,358,0.00
18.230.76.174,8880,0,false,ORD,North America,Chicago,350,0.00
18.231.190.41,8880,0,false,ORD,North America,Chicago,364,0.00
18.230.11.92,80,0,false,ORD,North America,Chicago,368,0.00
18.230.65.188,80,0,false,ORD,North America,Chicago,355,0.00
18.163.16.9,80,0,false,HKG,Asia Pacific,Hong Kong,34,0.00
18.231.198.127,2086,0,false,ORD,North America,Chicago,373,0.00
18.229.143.19,2096,0,false,ORD,North America,Chicago,367,0.00
15.228.191.110,443,0,false,ORD,North America,Chicago,347,0.00
54.233.183.56,2087,0,false,ORD,North America,Chicago,358,0.00
18.229.131.75,2083,0,false,ORD,North America,Chicago,362,0.00
18.230.26.5,80,0,false,ORD,North America,Chicago,358,0.00
54.232.130.58,443,0,false,ORD,North America,Chicago,364,0.00
18.230.124.145,8880,0,false,ORD,North America,Chicago,361,0.00
18.230.26.5,8080,0,false,ORD,North America,Chicago,349,0.00
18.231.2.47,2052,0,false,ORD,North America,Chicago,350,0.00
54.233.183.56,2083,0,false,ORD,North America,Chicago,363,0.00
18.231.33.117,80,0,false,ORD,North America,Chicago,349,0.00
15.228.192.27,8080,0,false,ORD,North America,Chicago,356,0.00
18.230.65.188,2096,0,false,ORD,North America,Chicago,366,0.00
18.230.124.145,2086,0,false,ORD,North America,Chicago,357,0.00
18.230.82.64,2096,0,false,ORD,North America,Chicago,358,0.00
18.231.198.127,2095,0,false,ORD,North America,Chicago,347,0.00
18.230.227.254,2053,0,false,ORD,North America,Chicago,366,0.00
18.230.76.174,8080,0,false,ORD,North America,Chicago,371,0.00
52.67.141.101,2086,0,false,ORD,North America,Chicago,354,0.00
15.228.192.27,2087,0,false,ORD,North America,Chicago,363,0.00
52.67.141.101,8880,0,false,ORD,North America,Chicago,352,0.00
18.231.198.127,443,0,false,ORD,North America,Chicago,370,0.00
18.230.26.5,2053,0,false,ORD,North America,Chicago,363,0.00
18.230.124.145,2053,0,false,ORD,North America,Chicago,372,0.00
18.230.59.9,2096,0,false,ORD,North America,Chicago,347,0.00
18.228.172.147,80,0,false,ORD,North America,Chicago,347,0.00
15.228.191.110,8080,0,false,ORD,North America,Chicago,347,0.00
54.94.204.20,80,0,false,ORD,North America,Chicago,361,0.00
18.231.109.164,2096,0,false,ORD,North America,Chicago,350,0.00
52.67.141.101,2053,0,false,ORD,North America,Chicago,368,0.00
18.229.143.19,2086,0,false,ORD,North America,Chicago,365,0.00
18.231.87.214,2082,0,false,ORD,North America,Chicago,364,0.00
54.232.135.80,2087,0,false,ORD,North America,Chicago,361,0.00
18.229.124.19,8880,0,false,ORD,North America,Chicago,354,0.00
15.228.191.110,8443,0,false,ORD,North America,Chicago,369,0.00
18.231.198.127,8443,0,false,ORD,North America,Chicago,358,0.00
18.231.190.41,2086,0,false,ORD,North America,Chicago,363,0.00
18.228.172.147,8443,0,false,ORD,North America,Chicago,359,0.00
18.230.227.254,2082,0,false,ORD,North America,Chicago,351,0.00
18.231.87.214,2095,0,false,ORD,North America,Chicago,364,0.00
54.233.183.56,443,0,false,ORD,North America,Chicago,362,0.00
18.229.131.75,2087,0,false,ORD,North America,Chicago,352,0.00
